,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
281,CCCCCC(C)=C(C)C=O,-5.713,-5.892,-5.499,-5.292,-5.474,-5.615,-5.025,-5.004,-5.154,-5.175
282,CC=CC(OCC)=C(C)CC,-5.1,-5.517,-5.267,-5.439,-5.004,-5.577,-4.817,-5.071,-4.993,-5.144
283,CCC=CCC(O)C(N)=O,-5.388,-5.897,-5.107,-5.264,-5.144,-5.258,-4.883,-4.864,-5.26,-5.115
284,C=CC=CCC(C)=C(C=CCC)CC=CCC(=C)C,-7.017,-6.918,-7.126,-6.403,-4.275,-5.675,-6.393,-5.788,-6.142,-6.22
285,C=C(C)CC=CCCC=CC,-5.623,-5.97,-5.399,-5.281,-5.28,-5.175,-4.641,-4.621,-4.857,-4.914
286,CCC[SH](C)C=CC(C)=C(C)N,-5.606,-5.753,-5.257,-5.306,-4.696,-5.14,-4.749,-4.813,-5.034,-5.075
287,C=C(C)C(C)NC(CC)C(C)C,-5.826,-5.556,-5.928,-5.426,-4.754,-5.169,-5.227,-5.02,-5.656,-5.421
288,CCCC(=O)OC(C)CC(C)=O,-5.912,-6.07,-5.736,-5.84,-5.209,-5.489,-5.361,-5.607,-5.36,-5.36
289,CC=C(SCCC)C(C)C(=O)OCC,-5.796,-5.703,-5.591,-5.459,-4.915,-5.083,-5.276,-5.481,-5.44,-5.427
290,CCC=C(CC(C)(C)C)OC,-5.145,-5.884,-5.283,-5.216,-4.595,-5.344,-4.877,-4.904,-4.906,-4.995
291,C=CC(CC(C)C)C(OC(CC)C(C)=O)C(=C)C,-6.811,-6.736,-6.946,-5.525,-4.369,-5.301,-6.504,-4.909,-6.764,-6.618
292,CCC1CCC(C)NC1C,-5.971,-5.891,-5.713,-5.959,-4.675,-4.867,-5.518,-4.739,-5.505,-5.418
293,C[C-]1C=CC(=S)[C]1C(C)C=O,-5.81,-5.69,-5.893,-5.748,-4.905,-5.712,-5.661,-4.653,-5.504,-5.707
