,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
452,C=CC=CC=C(C)C(C=CC=CCC)CCC,-6.689,-6.976,-6.536,-6.314,-5.162,-5.477,-5.772,-5.497,-5.827,-6.182
453,C=CC(=O)CC(C)=C(C)N=CCC,-5.962,-6.129,-6.107,-5.658,-4.856,-5.605,-5.356,-5.945,-5.469,-5.524
454,C=CC=CC(=CC(=C=CC)C(=C)C)CC,-6.611,-6.316,-6.348,-5.851,-4.546,-5.949,-5.85,-5.025,-5.78,-6.249
455,C=C(CCC)C(C=C=S)=CC,-5.163,-5.563,-5.399,-5.199,-4.962,-5.175,-4.831,-4.539,-4.867,-5.19
456,CC(O)C(C)CCCCCCCS,-5.625,-6.111,-5.504,-5.389,-4.441,-5.07,-4.977,-5.085,-5.045,-5.49
457,CCC(C)=C(C=CC(C)(C)C)CC,-6.418,-6.393,-6.339,-6.023,-4.403,-6.177,-5.676,-4.775,-6.001,-6.009
458,C=C=C(C=C(C)CC)C(=C)C(C)=CC=C,-6.652,-6.412,-6.762,-6.605,-5.865,-5.75,-6.064,-5.51,-5.88,-6.346
459,C=CC=CCCCCC(O)S,-5.201,-5.627,-5.218,-5.061,-4.807,-4.568,-4.691,-4.95,-4.818,-5.104
460,C=CC(C)=C(C(O)=C(C)CC)C(C)C,-6.332,-6.07,-6.472,-6.187,-5.059,-5.374,-5.888,-5.336,-6.035,-6.335
461,CCC=C(OC)OCC(C)C,-5.134,-5.577,-4.937,-5.328,-4.915,-5.237,-4.815,-4.739,-5.104,-4.819
462,CCCCC(C=CS)=CC(C)C,-5.537,-5.534,-5.329,-5.114,-4.704,-4.875,-4.838,-4.53,-4.903,-5.137
463,C=C(C)CC=CC=O,-4.977,-5.326,-4.88,-4.617,-4.658,-4.919,-4.424,-4.273,-4.354,-4.632
464,C=CCSC1=C[SH](CC)C1,-4.611,-5.023,-4.556,-4.516,-3.37,-4.339,-4.378,-4.238,-4.675,-4.658
465,COC(C)=C(C)C(=O)COCC(C)C(C)C(C)(C)C,-7.341,-7.443,-6.604,-6.742,,-5.69,-6.618,-4.235,-6.325,-6.529
466,CCC1(C)C(=O)OC2C=CC1=C2C(C)C,-7.643,-5.329,-7.358,-5.937,-5.091,-5.757,-7.078,-6.012,-7.281,-7.279
467,CC=CC(=O)C(=O)C(C)C(C)=O,-6.166,-6.491,-5.927,-5.851,-5.541,-6.067,-5.347,-5.656,-5.859,-5.423
468,C=C(C)C(=C)CC(C)C,-5.495,-5.512,-5.216,-5.202,-5.115,-5.789,-5.032,-4.711,-4.754,-5.175
469,C=C(C)SCCC,-3.899,-4.244,-3.891,-3.937,-4.014,-4.204,-3.634,-3.722,-3.854,-3.697
470,CCC1(C(C)C)C=CCCC(=O)C=C1,-5.548,-4.529,-5.412,-5.19,-3.13,-4.167,-4.891,-4.135,-5.11,-5.12
471,CCCC(C)CCC=C(C)S,-5.377,-5.559,-5.215,-5.039,-4.754,-4.887,-4.674,-4.569,-4.752,-4.81
472,CCC(C)C(C=CC(C)C=O)=CSC,-6.084,-6.154,-5.823,-5.844,-4.538,-5.258,-5.205,-4.86,-5.636,-5.855
473,CC=CC(=CCC)C(=O)CC,-5.707,-5.64,-5.561,-5.424,-5.618,-5.282,-5.002,-5.007,-5.11,-5.063
474,C1=COC2(C=C1)CCCO2,-5.836,-6.395,-5.815,-6.197,-4.649,-6.145,-5.245,-5.724,-5.612,-5.61
475,C=[SH]CC(C)C(=O)OCCC,-5.023,-5.448,-4.913,-4.859,-3.76,-4.671,-4.771,-4.951,-4.925,-4.671
476,CCC1C=CC(=O)COCC1,-4.467,-4.831,-4.195,-4.308,-3.662,-3.877,-4.173,-4.047,-3.969,-4.268
477,COC(C)OCC(C)=[SH]C(C)C,-5.259,-5.708,-5.447,-5.172,-4.275,-5.236,-5.066,-4.878,-5.056,-4.895
478,C=C(C)C=C(C)C1=C(OC)C(C)O1,-6.201,-6.311,-6.44,-6.255,-4.859,-5.666,-6.033,-5.664,-6.25,-6.441
479,COCC(C)CCCCO,-4.803,-5.197,-4.953,-4.422,-4.856,-4.733,-4.615,-4.433,-4.977,-4.823
480,C1CCSCCOC1,-2.989,-3.279,-2.763,-2.957,-2.281,-2.752,-2.892,-3.043,-2.89,-2.828
481,CC(C)CSCC=O,-4.497,-4.417,-4.417,-4.432,-3.82,-4.289,-4.091,-3.963,-4.207,-4.125
482,C=C1CSC1=O,-3.934,-4.382,-3.931,-3.95,-4.067,-4.255,-3.775,-3.973,-3.822,-3.603
483,C=CC=C(C=CC=C(O)CCC)CC,-6.409,-6.083,-6.001,-5.784,-4.974,-5.694,-5.328,-5.515,-5.744,-5.931
484,C=CC=CCC=CC(=O)C(C)CC,-6.108,-6.337,-5.801,-5.828,-5.059,-5.72,-5.132,-5.147,-5.5,-5.865
485,CCCCCCC(C)C(C)=O,-5.737,-5.939,-5.54,-5.449,-5.471,-5.245,-5.038,-5.317,-5.346,-5.096
486,CC=CC=CCOC=CC=C=O,-5.281,-5.616,-5.17,-5.21,-4.443,-4.786,-4.767,-5.011,-4.773,-4.723
487,C=C(CC)C(C)(C)C(C)O,-5.781,-5.422,-5.495,-5.545,-4.778,-5.393,-4.882,-5.197,-5.461,-5.435
488,CC=CC=CC(C)=CC=CC=CCCC=C(C)C,-6.765,-7.394,-6.855,-6.144,-3.967,-6.266,-5.902,-5.721,-6.383,-6.206
489,C=C(C(C)OC)C(C)SC,-4.779,-5.165,-4.886,-4.838,-4.051,-4.545,-4.233,-4.345,-4.49,-4.544
490,CCC(=O)C(C)C=C(C)O,-5.456,-5.687,-5.533,-5.145,-5.203,-5.482,-4.881,-5.213,-5.205,-5.091
491,CCC(C)OC=CCCS,-4.712,-4.852,-4.397,-4.447,-4.366,-4.514,-4.331,-4.204,-4.416,-4.21
492,CCCC[S](C)N(O)COC,-5.377,-5.361,-4.691,-5.155,-4.004,-4.495,-4.76,-5.158,-4.867,-5.047
493,C=C(OCC)c1coc(C(C)C)c1,-6.368,-6.712,-6.408,-5.946,-5.192,-5.647,-5.783,-5.396,-5.662,-5.8
494,CC=C1CC(O)=C=CC1(C)C1OO1,-6.941,-6.526,-6.668,-6.672,-5.726,-5.397,-6.747,-5.842,-6.676,-6.452
495,C=C(C)CCCC1CCCC(CCC)C1,-7.362,-7.508,-7.014,-6.69,-4.474,-6.025,-6.502,-5.793,-6.518,-6.547
496,CC=C(C)C=C=C(C)OC(C)(CC)CCC,-6.588,-6.271,-6.501,-6.099,-4.936,-5.605,-5.996,-5.105,-5.764,-5.992
497,CCSCCCC(C)C(C)=C=O,-5.607,-5.643,-5.349,-5.359,-4.582,-5.307,-4.932,-4.772,-5.06,-5.003
498,CS(=O)C1=CC(=CC=C([O-])O)OC=CC=C1,-5.098,-5.539,-5.083,-4.755,-3.345,-3.659,-5.274,-3.871,-4.81,-4.687
499,CCCCC(S)=CCC(=O)CC,-5.463,-5.745,-5.359,-5.3,-4.662,-5.062,-5.006,-4.972,-4.987,-4.922
